,Fx,Fy,Fz,Tx,Ty,Tz
26.8,8.801263,34.4281,-53.77818,7.066535,-44.45584,9.324573
26.9,7.249137,-2.81895,34.40854,2.858596,-17.73251,-1.892342
27,3.991363,-28.44931,75.22249,4.492459,-16.03654,6.713889
27.1,-36.9543,-41.57424,33.5601,5.576665,-28.87506,4.117884
27.2,-17.78075,-23.57461,31.4633,4.348967,-24.29859,2.998853
27.3,-29.12636,-16.69719,38.0371,3.140197,-24.20131,4.112818
27.4,-39.0133,-22.3452,22.4872,4.102194,-28.51646,3.994456
27.5,-37.02581,-10.73028,19.75329,2.419981,-28.66299,2.14011
27.6,-42.16101,-12.1107,17.78355,2.918004,-28.79056,3.274317
27.7,-43.37121,-10.33533,17.93382,2.796129,-29.67513,2.526135
27.8,-49.28626,-5.204125,17.88684,2.966425,-31.44434,1.752153
27.9,-44.24189,-12.62311,15.85812,3.130576,-30.65826,3.349865
28,17.6095,-4.162962,77.19744,0.396114,-15.20607,-3.858645
28.1,1.900225,-55.73862,45.6823,5.967815,-20.0069,3.447145
28.2,-38.82765,-28.25446,47.68061,4.970247,-29.34961,6.599992
28.3,-135.6427,14.8708,22.14288,3.167912,-29.09643,1.083369
28.4,-30.90133,22.31125,11.43055,-1.116724,-33.63213,-3.443377
28.5,-42.03306,2.149913,16.98069,2.133914,-31.99373,-0.808939
28.6,-50.23727,-11.56769,23.77831,3.570348,-31.92015,2.848055
28.7,-36.81572,-9.996437,13.12834,3.087971,-31.83387,3.248565
28.8,-40.36391,-9.692963,18.07349,3.47661,-32.51301,1.431057
28.9,-43.57404,-16.42628,15.96078,4.603579,-33.34196,3.130709
29,-39.33524,-10.8415,17.03865,3.629612,-32.68404,1.9421
29.1,-40.81949,-13.78684,18.21346,3.757256,-32.45991,2.695334
29.2,-40.42213,-11.87634,18.29935,3.638625,-31.95435,2.448608
29.3,-45.08342,-15.272,30.98117,4.002047,-30.46086,1.7644
29.4,-37.82729,-20.92524,26.22898,4.614847,-28.87569,3.963291
29.5,-51.98167,-24.15985,19.85829,5.104185,-30.55003,2.638271
29.6,-147.1765,-48.04725,32.77084,15.78249,-26.84471,2.523362
29.7,16.53994,-16.9785,90.4388,3.26388,-9.660404,10.09116
29.8,-35.06427,-29.31754,24.21417,3.642981,-28.61781,4.064019
29.9,-36.33746,-13.93797,26.76779,2.558273,-27.47807,3.442247
30,-30.90294,3.176013,24.97485,1.234995,-26.98621,2.441053
30.1,-56.44345,-9.961513,7.978575,2.390591,-32.84734,3.109368
30.2,-50.97289,-4.490112,6.62375,2.204781,-31.83012,1.265239
30.3,-52.36357,-4.537463,10.56576,1.837894,-31.84115,2.055808
30.4,-49.05202,-7.973525,9.168575,2.500785,-30.66308,2.754921
30.5,-47.90662,-6.470037,10.92852,2.444588,-31.22325,1.744258
30.6,-45.94522,-9.127,11.3128,2.729038,-30.3859,2.36556
30.7,-47.92621,-10.21584,15.35284,3.225707,-32.36872,0.659384
30.8,-42.51091,-11.5871,13.65544,3.130762,-29.72467,2.126413
30.9,-88.94398,-3.596175,51.06675,0.830873,-21.0557,3.847455
31,-68.79288,-15.87938,-34.45948,2.494319,-47.52257,4.183923
31.1,-64.86662,22.23313,-25.48306,0.191285,-43.23106,-4.662156
31.2,-38.04842,-16.02253,7.8301,5.133891,-31.60992,7.606367
31.3,-36.10605,-29.71131,34.11055,5.87059,-25.73064,8.097909
31.4,-29.07153,-11.54994,18.78781,3.911174,-29.99323,3.780987
31.5,-34.0982,-8.190437,21.0984,2.715836,-31.80444,1.27698
31.6,-39.6808,-17.72943,24.63235,4.180363,-30.85703,3.989208
31.7,-35.36583,-13.1359,19.22622,4.061681,-31.67633,2.101719
31.8,-39.07679,-15.5607,18.07996,4.152942,-32.3445,2.972563
31.9,-37.57525,-14.10809,19.9598,3.78058,-31.69438,2.541899
32,-36.69624,-14.27846,15.77534,3.653865,-32.17314,2.773583
32.1,-39.96824,-17.49228,19.40557,3.665201,-32.47958,4.147797
32.2,-34.06596,-16.43114,32.42223,4.144606,-27.06171,4.112403
32.3,-47.77786,-25.78807,24.60402,4.56708,-29.7863,4.106309
32.4,-45.7839,-20.20471,23.96831,12.78583,-28.60356,2.242974
