Time,Fx,Fy,Fz,Tx,Ty,Tz
21.8,-165.1846,-38.61055,157.1987,9.065538,-62.71034,21.94962
21.9,-91.72775,20.54265,206.9049,1.984336,-27.36547,11.28995
22,-18.09185,-6.075363,198.1696,1.740338,-28.50473,13.02971
22.1,24.84919,6.572712,187.8117,3.95165,-18.8859,8.470146
22.2,25.01113,51.70422,214.8053,-0.710372,-15.29185,4.990634
22.3,-42.44183,68.50421,243.8298,-2.01222,-18.4229,4.398409
22.4,-88.76894,55.57462,218.6347,-0.726281,-27.3041,5.16282
22.5,-121.1564,18.43656,193.6407,2.328386,-32.05977,7.773079
22.6,-52.19634,13.3126,197.9944,2.349133,-25.36307,9.30011
22.7,-44.27915,13.05713,201.7125,2.816345,-22.15723,10.87821
22.8,-63.88108,12.42719,204.73,3.36057,-24.00315,10.05184
22.9,-63.54768,17.33497,199.3874,3.400833,-24.46689,10.03929
23,-60.70614,12.03045,208.0837,4.064762,-23.35769,12.33673
23.1,-50.29121,0.6411875,197.1206,5.342464,-22.43487,16.40302
23.2,-77.37392,21.7363,195.8654,2.945298,-24.20072,9.971032
23.3,-66.83263,18.37354,197.5665,3.332279,-24.31355,10.76337
23.4,-55.32119,4.464162,206.1643,4.700237,-24.6543,11.48273
23.5,-53.8134,20.10359,204.5762,2.419377,-24.15522,9.905904
23.6,-23.49996,-20.77261,191.2498,6.329659,-25.84766,16.65528
23.7,-287.8274,-176.6823,336.4939,108.7009,-66.24351,146.3677
23.8,-58.68205,285.7754,120.9123,-27.76717,-54.07357,-56.21682
23.9,6.220675,46.04665,217.196,3.455955,-10.67648,13.72177
24,-83.48483,-69.58644,139.6055,13.44507,-52.52061,34.94662
24.1,-85.30305,-10.26867,143.6942,6.402276,-52.96189,19.61454
24.2,-106.2972,-11.78601,158.3797,7.66687,-50.58694,9.400905
24.3,-117.4557,-33.0991,166.6576,11.51371,-52.33458,13.09404
24.4,-117.4308,-22.25691,177.3273,10.50225,-46.58086,11.50892
24.5,-6.631513,-33.76189,281.2242,17.92961,-12.20984,10.71766
24.6,-25.38143,-11.62196,274.0289,2.944275,-12.2338,11.11408
24.7,-3.697762,-19.8072,308.0583,6.600506,-7.709009,13.44786
24.8,-53.43483,6.500613,262.2095,3.290876,-15.86247,11.01249
24.9,-99.07519,27.83899,225.692,1.891172,-29.97749,6.369955
25,-137.0635,68.86316,189.8908,-2.417093,-36.90512,4.084066
25.1,-95.2504,87.27557,201.7915,-4.538862,-32.96422,4.447392
25.2,150.3295,51.77771,336.4002,0.574207,5.23164,5.279949
25.3,-96.47257,23.32618,284.2373,5.782946,-24.17501,5.473651
25.4,-326.5359,20.06451,215.5966,6.963741,-50.06296,12.49325
25.5,-146.9999,20.09219,277.8247,7.486439,-27.36581,14.11303
25.6,-257.2274,18.16839,228.7307,8.143622,-40.76654,11.08033
25.7,-240.9672,8.162,240.4441,3.847224,-37.50084,9.177547
25.8,-14.18878,-1.0799,324.9647,3.685901,-18.94956,3.016455
25.9,41.46545,-7.157187,279.0212,6.339012,-20.17955,7.167013
26,-118.097,11.56526,255.9362,2.474302,-32.40507,10.53243
26.1,-53.56963,10.8408,279.3919,2.048328,-18.42125,9.171724
26.2,-12.64851,-21.36229,299.7715,6.711801,-4.144358,11.05914
26.3,-68.00879,9.141538,207.447,1.912314,-28.73784,11.01368
26.4,-69.24111,10.64423,208.2735,2.579906,-28.72688,9.869855
26.5,-61.57763,14.69048,209.2603,2.103006,-28.06322,8.55025
26.6,-61.02436,12.82816,205.8897,2.443058,-27.83802,9.28641
26.7,-62.48252,13.14522,207.5589,2.447902,-28.21315,8.979086
26.8,-63.49149,12.36441,207.6708,2.727869,-28.25575,8.91413
26.9,-63.7458,12.80446,208.197,2.250761,-28.30239,9.174844
27,-61.58556,13.03531,208.1472,2.382389,-27.74745,9.032022
27.1,-62.75431,13.27244,208.0035,2.232952,-28.27817,8.90765
27.2,-61.69556,12.53053,207.4198,2.674278,-27.8274,9.065939
27.3,-61.79052,13.63595,208.2642,2.312356,-28.03272,9.069722
27.4,-61.48675,12.61579,208.0424,2.544639,-27.83228,9.068228
27.5,-62.21333,12.68639,208.7072,2.310521,-28.06591,9.038414
27.6,-34.58092,29.21325,171.42,0.662057,-27.62536,7.292936
27.7,-11.66842,44.85894,138.3189,-0.892893,-25.20793,6.876394
